stage_number,stage_name,surviving_tokens,dropped_tokens,retention_pct,primary_filter_gate
1,DISCOVERED,7,0,100.0%,Solana live RPC & DEX scanners
2,VERIFIED_ON_CHAIN,7,0,100.0%,Base58 32-byte + SPL Token owner check
3,MARKET_DATA_VALID,7,0,100.0%,Active pool price & liquidity > $0
4,SECURITY_PASS,7,0,100.0%,Rug probability <= 30% + revoked authorities
5,LIQUIDITY_PASS,7,0,100.0%,"Liquidity >= $10,000 USD"
6,WHALE_PASS,0,7,0.0%,"Whale netflow >= $20,000 USD"
7,SMART_MONEY_PASS,0,0,0.0%,Smart score >= 78.0 & netflow > $5k
8,MOMENTUM_PASS,0,0,0.0%,Price velocity & pre-ignition checks
9,ANTI_CHASE_PASS,0,0,0.0%,Rejects parabolic blow-offs
10,FINAL_SCORE_PASS,0,0,0.0%,Final score >= 72.0 & Rec == PAPER_ENTRY
11,SNIPER_CANDIDATE,0,0,0.0%,All entry conditions satisfied
