mint,symbol,discovered,on_chain_verified,market_data_valid,security_pass,liquidity_pass,whale_pass,smart_money_pass,momentum_pass,anti_chase_pass,final_score_pass,sniper_candidate,alpha_score,risk_score,final_score,recommendation,rejection_reason
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,BONK,True,True,True,True,True,False,False,True,True,False,False,53.0,25.0,54.6,REJECT,Mature Lifecycle: Token age (85000 min) exceeds sniper earlyness window; Alpha (53.0) < 70
EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,WIF,True,True,True,True,True,False,False,False,True,False,False,45.0,25.0,51.0,REJECT,"Sub-threshold Signals: Alpha=45.0 (min 70), SmartScore=50.0 (min 78), WhaleNetflow=$-12,000 (min $20k)"
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,FARTCOIN,True,True,True,True,True,False,False,True,True,False,False,58.0,25.0,56.9,WATCH,Mature Lifecycle: Token age (12000 min) exceeds sniper earlyness window; Alpha (58.0) < 70
CzLSujWBLFsRef9QLNrm2t37CUMqznwvWStU15xqpump,GOAT,True,True,True,True,True,False,False,False,True,False,False,50.0,40.0,49.5,REJECT,"Sub-threshold Signals: Alpha=50.0 (min 70), SmartScore=50.0 (min 78), WhaleNetflow=$+1,018 (min $20k)"
2qEHjDLDLbuBgRYvsxhc5Ref69QE8YYqZFLDxuRe9pump,PNUT,True,True,True,True,True,False,False,False,True,False,False,50.0,40.0,49.5,REJECT,"Sub-threshold Signals: Alpha=50.0 (min 70), SmartScore=50.0 (min 78), WhaleNetflow=$+814 (min $20k)"
Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4So2g55ppump,PIPPIN,True,True,True,True,True,False,False,True,True,False,False,55.0,25.0,55.5,WATCH,"Alpha/Risk Gate: Alpha=55.0 (min 70.0), Risk=25.0 (max 35.0), Rec=WATCH"
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGIpn,TRUMP,True,True,True,True,True,False,False,False,True,False,False,45.0,25.0,51.0,REJECT,"Sub-threshold Signals: Alpha=45.0 (min 70), SmartScore=50.0 (min 78), WhaleNetflow=$-4,500 (min $20k)"
2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,PENGU,True,True,True,True,True,False,False,True,True,False,False,45.0,25.0,51.0,REJECT,Mature Lifecycle: Token age (18000 min) exceeds sniper earlyness window; Alpha (45.0) < 70
ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74WD8,BOME,True,True,True,True,True,False,False,False,True,False,False,45.0,25.0,51.0,REJECT,"Sub-threshold Signals: Alpha=45.0 (min 70), SmartScore=50.0 (min 78), WhaleNetflow=$-1,500 (min $20k)"
MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,MEW,True,True,True,True,True,False,False,False,True,False,False,53.0,25.0,54.6,REJECT,"Sub-threshold Signals: Alpha=53.0 (min 70), SmartScore=50.0 (min 78), WhaleNetflow=$+6,100 (min $20k)"
