mint,symbol,security_score,rug_probability,reasons,source_type
BadRugHoneypot11111111111111111111111111111,HONEYSCAM,0.0,100.0,LP Lock is 0.0% (< 70.0% required; Dev can pull liquidity); HONEYPOT DETECTED: Sell transactions fail on-chain; Freeze Authority is ACTIVE (Creator can freeze user accounts/honeypot); Creator/Dev wallet holds 65.0% (> 15.0% limit; High dump risk); Mint Authority is ACTIVE (Creator can mint unlimited tokens); Top 10 holders control 88.0% (> 65.0% limit),MOCK_BENCHMARK
WashTradeC1usterFake22222222222222222222222,WASHFAKE,49.66,50.34,LP Lock is 40.0% (< 70.0% required; Dev can pull liquidity); Creator/Dev wallet holds 28.0% (> 15.0% limit; High dump risk); Top 10 holders control 72.0% (> 65.0% limit); WASH TRADING DETECTED: High artificial volume from single entity cluster,MOCK_BENCHMARK
ThinMintTrapLowLiq11111111111111111111111111,THINLIQ,75.02,24.98,"Liquidity $350 < $1,000 min; Top 10 holders control 92.0% (> 65.0% limit); Creator/Dev wallet holds 45.0% (> 15.0% limit; High dump risk); LP Lock is 10.0% (< 70.0% required; Dev can pull liquidity)",MOCK_BENCHMARK
BadRugHoneypot11111111111111111111111111111,HONEYSCAM,0.0,100.0,LP Lock is 0.0% (< 70.0% required; Dev can pull liquidity); HONEYPOT DETECTED: Sell transactions fail on-chain; Freeze Authority is ACTIVE (Creator can freeze user accounts/honeypot); Creator/Dev wallet holds 65.0% (> 15.0% limit; High dump risk); Mint Authority is ACTIVE (Creator can mint unlimited tokens); Top 10 holders control 88.0% (> 65.0% limit),MOCK_BENCHMARK
WashTradeC1usterFake22222222222222222222222,WASHFAKE,49.66,50.34,LP Lock is 40.0% (< 70.0% required; Dev can pull liquidity); Creator/Dev wallet holds 28.0% (> 15.0% limit; High dump risk); Top 10 holders control 72.0% (> 65.0% limit); WASH TRADING DETECTED: High artificial volume from single entity cluster,MOCK_BENCHMARK
ThinMintTrapLowLiq11111111111111111111111111,THINLIQ,75.02,24.98,"Liquidity $350 < $1,000 min; Top 10 holders control 92.0% (> 65.0% limit); Creator/Dev wallet holds 45.0% (> 15.0% limit; High dump risk); LP Lock is 10.0% (< 70.0% required; Dev can pull liquidity)",MOCK_BENCHMARK
BadRugHoneypot11111111111111111111111111111,HONEYSCAM,0.0,100.0,LP Lock is 0.0% (< 70.0% required; Dev can pull liquidity); HONEYPOT DETECTED: Sell transactions fail on-chain; Freeze Authority is ACTIVE (Creator can freeze user accounts/honeypot); Creator/Dev wallet holds 65.0% (> 15.0% limit; High dump risk); Mint Authority is ACTIVE (Creator can mint unlimited tokens); Top 10 holders control 88.0% (> 65.0% limit),MOCK_BENCHMARK
WashTradeC1usterFake22222222222222222222222,WASHFAKE,49.66,50.34,LP Lock is 40.0% (< 70.0% required; Dev can pull liquidity); Creator/Dev wallet holds 28.0% (> 15.0% limit; High dump risk); Top 10 holders control 72.0% (> 65.0% limit); WASH TRADING DETECTED: High artificial volume from single entity cluster,MOCK_BENCHMARK
ThinMintTrapLowLiq11111111111111111111111111,THINLIQ,75.02,24.98,"Liquidity $350 < $1,000 min; Top 10 holders control 92.0% (> 65.0% limit); Creator/Dev wallet holds 45.0% (> 15.0% limit; High dump risk); LP Lock is 10.0% (< 70.0% required; Dev can pull liquidity)",MOCK_BENCHMARK
BadRugHoneypot11111111111111111111111111111,HONEYSCAM,0.0,100.0,LP Lock is 0.0% (< 70.0% required; Dev can pull liquidity); HONEYPOT DETECTED: Sell transactions fail on-chain; Freeze Authority is ACTIVE (Creator can freeze user accounts/honeypot); Creator/Dev wallet holds 65.0% (> 15.0% limit; High dump risk); Mint Authority is ACTIVE (Creator can mint unlimited tokens); Top 10 holders control 88.0% (> 65.0% limit),MOCK_BENCHMARK
WashTradeC1usterFake22222222222222222222222,WASHFAKE,49.66,50.34,LP Lock is 40.0% (< 70.0% required; Dev can pull liquidity); Creator/Dev wallet holds 28.0% (> 15.0% limit; High dump risk); Top 10 holders control 72.0% (> 65.0% limit); WASH TRADING DETECTED: High artificial volume from single entity cluster,MOCK_BENCHMARK
ThinMintTrapLowLiq11111111111111111111111111,THINLIQ,75.02,24.98,"Liquidity $350 < $1,000 min; Top 10 holders control 92.0% (> 65.0% limit); Creator/Dev wallet holds 45.0% (> 15.0% limit; High dump risk); LP Lock is 10.0% (< 70.0% required; Dev can pull liquidity)",MOCK_BENCHMARK
BadRugHoneypot11111111111111111111111111111,HONEYSCAM,0.0,100.0,LP Lock is 0.0% (< 70.0% required; Dev can pull liquidity); HONEYPOT DETECTED: Sell transactions fail on-chain; Freeze Authority is ACTIVE (Creator can freeze user accounts/honeypot); Creator/Dev wallet holds 65.0% (> 15.0% limit; High dump risk); Mint Authority is ACTIVE (Creator can mint unlimited tokens); Top 10 holders control 88.0% (> 65.0% limit),MOCK_BENCHMARK
WashTradeC1usterFake22222222222222222222222,WASHFAKE,49.66,50.34,LP Lock is 40.0% (< 70.0% required; Dev can pull liquidity); Creator/Dev wallet holds 28.0% (> 15.0% limit; High dump risk); Top 10 holders control 72.0% (> 65.0% limit); WASH TRADING DETECTED: High artificial volume from single entity cluster,MOCK_BENCHMARK
ThinMintTrapLowLiq11111111111111111111111111,THINLIQ,75.02,24.98,"Liquidity $350 < $1,000 min; Top 10 holders control 92.0% (> 65.0% limit); Creator/Dev wallet holds 45.0% (> 15.0% limit; High dump risk); LP Lock is 10.0% (< 70.0% required; Dev can pull liquidity)",MOCK_BENCHMARK
BadRugHoneypot11111111111111111111111111111,HONEYSCAM,0.0,100.0,LP Lock is 0.0% (< 70.0% required; Dev can pull liquidity); HONEYPOT DETECTED: Sell transactions fail on-chain; Freeze Authority is ACTIVE (Creator can freeze user accounts/honeypot); Creator/Dev wallet holds 65.0% (> 15.0% limit; High dump risk); Mint Authority is ACTIVE (Creator can mint unlimited tokens); Top 10 holders control 88.0% (> 65.0% limit),MOCK_BENCHMARK
WashTradeC1usterFake22222222222222222222222,WASHFAKE,49.66,50.34,LP Lock is 40.0% (< 70.0% required; Dev can pull liquidity); Creator/Dev wallet holds 28.0% (> 15.0% limit; High dump risk); Top 10 holders control 72.0% (> 65.0% limit); WASH TRADING DETECTED: High artificial volume from single entity cluster,MOCK_BENCHMARK
ThinMintTrapLowLiq11111111111111111111111111,THINLIQ,75.02,24.98,"Liquidity $350 < $1,000 min; Top 10 holders control 92.0% (> 65.0% limit); Creator/Dev wallet holds 45.0% (> 15.0% limit; High dump risk); LP Lock is 10.0% (< 70.0% required; Dev can pull liquidity)",MOCK_BENCHMARK
BadRugHoneypot11111111111111111111111111111,HONEYSCAM,0.0,100.0,LP Lock is 0.0% (< 70.0% required; Dev can pull liquidity); HONEYPOT DETECTED: Sell transactions fail on-chain; Freeze Authority is ACTIVE (Creator can freeze user accounts/honeypot); Creator/Dev wallet holds 65.0% (> 15.0% limit; High dump risk); Mint Authority is ACTIVE (Creator can mint unlimited tokens); Top 10 holders control 88.0% (> 65.0% limit),MOCK_BENCHMARK
WashTradeC1usterFake22222222222222222222222,WASHFAKE,49.66,50.34,LP Lock is 40.0% (< 70.0% required; Dev can pull liquidity); Creator/Dev wallet holds 28.0% (> 15.0% limit; High dump risk); Top 10 holders control 72.0% (> 65.0% limit); WASH TRADING DETECTED: High artificial volume from single entity cluster,MOCK_BENCHMARK
ThinMintTrapLowLiq11111111111111111111111111,THINLIQ,75.02,24.98,"Liquidity $350 < $1,000 min; Top 10 holders control 92.0% (> 65.0% limit); Creator/Dev wallet holds 45.0% (> 15.0% limit; High dump risk); LP Lock is 10.0% (< 70.0% required; Dev can pull liquidity)",MOCK_BENCHMARK
BadRugHoneypot11111111111111111111111111111,HONEYSCAM,0.0,100.0,LP Lock is 0.0% (< 70.0% required; Dev can pull liquidity); HONEYPOT DETECTED: Sell transactions fail on-chain; Freeze Authority is ACTIVE (Creator can freeze user accounts/honeypot); Creator/Dev wallet holds 65.0% (> 15.0% limit; High dump risk); Mint Authority is ACTIVE (Creator can mint unlimited tokens); Top 10 holders control 88.0% (> 65.0% limit),MOCK_BENCHMARK
WashTradeC1usterFake22222222222222222222222,WASHFAKE,49.66,50.34,LP Lock is 40.0% (< 70.0% required; Dev can pull liquidity); Creator/Dev wallet holds 28.0% (> 15.0% limit; High dump risk); Top 10 holders control 72.0% (> 65.0% limit); WASH TRADING DETECTED: High artificial volume from single entity cluster,MOCK_BENCHMARK
